Archivo,Max_k,Iteracion,Tiempo_Recoleccion_s,Tiempo_Transporte_s,Tiempo_Total_s,Nodos
instance2.txt,3,1,2.16591,9.33e-06,2.16598,40
instance2.txt,3,2,2.0577,8.953e-06,2.05776,40
instance2.txt,3,3,2.16108,1.0648e-05,2.16113,40
instance2.txt,4,1,2.76186,8.243e-06,2.76193,40
instance2.txt,4,2,2.76054,1.1912e-05,2.76061,40
instance2.txt,4,3,2.66112,9.008e-06,2.66118,40
instance2.txt,5,1,3.47267,1.177e-05,3.47273,40
instance2.txt,5,2,3.46722,1.1078e-05,3.46729,40
instance2.txt,5,3,3.46371,9.511e-06,3.46377,40
instance1.txt,3,1,2.0734,1.077e-05,2.07346,40
instance1.txt,3,2,1.99366,8.207e-06,1.99371,40
instance1.txt,3,3,2.06331,1.1137e-05,2.06337,40
instance1.txt,4,1,2.74023,1.0624e-05,2.74029,40
instance1.txt,4,2,2.50721,1.04e-05,2.50726,40
instance1.txt,4,3,2.88142,1.1155e-05,2.88148,40
instance1.txt,5,1,3.29647,1.1259e-05,3.29653,40
instance1.txt,5,2,3.29136,8.553e-06,3.29142,40
instance1.txt,5,3,3.36803,1.1774e-05,3.36815,40
